Source,Target
AQT:D' R' U2 R D R' U2 R,GWZ:R F' R' U2 R D R' U2 R D' F R'
AQW:U R B' R' D R' D' R2 B' R2 D R D' R B2 R' U',DQW:R B' R' D R' D' R2 B' R2 D R D' R B2 R'
AQW:U R B' R' D R' D' R2 B' R2 D R D' R B2 R' U',AWQ:U R B2 R' D R' D' R2 B R2 D R D' R B R' U'
AQX:R' U D' R' U R D R' U' R U' R,DQT:D' R' U R D R' U' R
AQX:R' U D' R' U R D R' U' R U' R,AXQ:R' U R' U R D' R' U' R U' D R
AQY:R U' R D' R' U' R D R' U2 R',JAQ:U' R D' R' U' R D R' U2
AQY:R U' R D' R' U' R D R' U2 R',AYQ:R U2 R D' R' U R D R' U R'
AQY:R U' R D' R' U' R D R' U2 R',GCP:R' U' R D' R' U' R D R' U2 R
AQY:R U' R D' R' U' R D R' U2 R',GOW:R' F' R U' R D' R' U' R D R' U2 R' F R
AQY:R U' R D' R' U' R D R' U2 R',JQY:U R U' R D' R' U' R D R' U2 R' U'
AQY:R U' R D' R' U' R D R' U2 R',WTO:R2 F' R U' R D' R' U' R D R' U2 R' F R2
AQZ:U' R U' D' R D R' U R D' R' D R' U,JQZ:R U' D' R D R' U R D' R' D R'
AQZ:U' R U' D' R D R' U R D' R' D R' U,AZQ:U' R D' R D R' U' R D' R' U D R' U
ARD:R U2 D' R' D R U R' D' R U D R',AYD:U2 D' R' D R U R' D' R U D
ARD:R U2 D' R' D R U R' D' R U D R',JDA:R' U2 D' R' D R U R' D' R U D R
ARE:U' D R U2 R D' R' U2 R D R2 U D',JOB:R U2 R D' R' U2 R D R2
ARE:U' D R U2 R D' R' U2 R D R2 U D',JIT:U D R U2 R D' R' U2 R D R2 U' D'
ARE:U' D R U2 R D' R' U2 R D R2 U D',JRB:D R U2 R D' R' U2 R D R2 D'
ARF:R' F R U R D R' U' R D' R2 F' R,JGE:R U R D R' U' R D' R2
ARM:R' F2 R2 D R' U' R D' R' U R' F2 R,JSG:R D R' U' R D' R' U
ARM:R' F2 R2 D R' U' R D' R' U R' F2 R,GYS:D R' U' R D' R' U R
ARN:U' D R U' R D' R' U R D R2 U D',GRN:U D R U' R D' R' U R D R2 U' D'
ARN:U' D R U' R D' R' U R D R2 U D',JRN:D R U' R D' R' U R D R2 D'
ARO:R' U' R2 D' R' U R D R' U' R' U R,GQC:U' R2 D' R' U R D R' U' R' U
ARO:R' U' R2 D' R' U R D R' U' R' U R,DRO:U' R' U' R2 D' R' U R D R' U' R' U R U
ARP:U2 R' U R U2 R D' R' U2 R D R2 U' R U2,GRP:R' U R U2 R D' R' U2 R D R2 U' R
ARP:U2 R' U R U2 R D' R' U2 R D R2 U' R U2,DRP:U R' U R U2 R D' R' U2 R D R2 U' R U'
ARP:U2 R' U R U2 R D' R' U2 R D R2 U' R U2,JRP:U' R' U R U2 R D' R' U2 R D R2 U' R U
ARQ:U' R D' R' U R' D R U' R' D' R2 D R' U,JRQ:R D' R' U R' D R U' R' D' R2 D R'
ARQ:U' R D' R' U R' D R U' R' D' R2 D R' U,GRQ:U R D' R' U R' D R U' R' D' R2 D R' U'
ARW:R' F R U2 R D R' U2 R D' R2 F' R,JGB:R U2 R D R' U2 R D' R2
ARW:R' F R U2 R D R' U2 R D' R2 F' R,AWR:R' F R2 D R' U2 R D' R' U2 R' F' R
ARW:R' F R U2 R D R' U2 R D' R2 F' R,DRW:U' R' F R U2 R D R' U2 R D' R2 F' R U
ARW:R' F R U2 R D R' U2 R D' R2 F' R,JRW:U R' F R U2 R D R' U2 R D' R2 F' R U'
ARX:R' U' R U R' D' R U R' D R U2 R' U R,JET:R U R' D' R U R' D R U2 R'
ARX:R' U' R U R' D' R U R' D R U2 R' U R,AXR:R' U' R U2 R' D' R U' R' D R U' R' U R
ARY:R D' R' D R U' R' D' R U D R',JAY:D' R' D R U' R' D' R U D
ARY:R D' R' D R U' R' D' R U D R',AXM:D R D' R' D R U' R' D' R U D R' D'
ARY:R D' R' D R U' R' D' R U D R',AYR:R U' D' R' D R U R' D' R D R'
ARY:R D' R' D R U' R' D' R U D R',JHA:R' D' R' D R U' R' D' R U D R
ARY:R D' R' D R U' R' D' R U D R',JRY:U R D' R' D R U' R' D' R U D R' U'
ARZ:R2 U' R2 D' R U2 R' D R U2 R U R2,JIA:U' R2 D' R U2 R' D R U2 R U
ARZ:R2 U' R2 D' R U2 R' D R U2 R U R2,AZR:R2 U' R' U2 R' D' R U2 R' D R2 U R2
ARZ:R2 U' R2 D' R U2 R' D R U2 R U R2,JCX:R U' R2 D' R U2 R' D R U2 R U R'
ASD:U R D R' U R D' R' U2,JGS:U' R D R' U R D' R'
ASD:U R D R' U R D' R' U2,DZW:R F' R' U R D R' U R D' R' U2 R F R'
ASD:U R D R' U R D' R' U2,GDS:R D R' U R D' R' U'
ASD:U R D R' U R D' R' U2,GEB:R U R D R' U R D' R' U2 R'
ASD:U R D R' U R D' R' U2,JSA:U2 R D R' U R D' R' U
ASE:R U R' U' R D R' U2 R D' R' U' R U' R',AZE:U R' U' R D R' U2 R D' R' U' R U'
ASE:R U R' U' R D R' U2 R D' R' U' R U' R',GFB:R2 U R' U' R D R' U2 R D' R' U' R U' R2
ASF:R' U R U R D R' U' R D' R2 U' R,GDB:U R U R D R' U' R D' R2 U'
ASM:R' U R U2 R' D R U' R' D' R U' R' U' R,GNB:U R U2 R' D R U' R' D' R U' R' U'
ASN:U' R' F' R U' R D R' U R D' R2 F R U,JSN:R' F' R U' R D R' U R D' R2 F R
ASN:U' R' F' R U' R D R' U R D' R2 F R U,DSN:U2 R' F' R U' R D R' U R D' R2 F R U2
ASN:U' R' F' R U' R D R' U R D' R2 F R U,GSN:U R' F' R U' R D R' U R D' R2 F R U'
ASP:R B D R' U2 R D' R' U2 R B' R',GAS:R D R' U2 R D' R' U2
ASP:R B D R' U2 R D' R' U2 R B' R',ATQ:R' U2 R D' R' U2 R D
ASQ:R' U R U R D' R' U' R D R2 U' R,GOB:U R U R D' R' U' R D R2 U'
ASQ:R' U R U R D' R' U' R D R2 U' R,AYT:D R' U R U R D' R' U' R D R2 U' R D'
ASQ:R' U R U R D' R' U' R D R2 U' R,DSQ:U' R' U R U R D' R' U' R D R2 U' R U
ASW:R' F R U2 D R D' R' U2 R D R' D' R' F' R,JHB:R U2 D R D' R' U2 R D R' D' R'
ASW:R' F R U2 D R D' R' U2 R D R' D' R' F' R,AWS:R' F R D R D' R' U2 R D R' U2 D' R' F' R
ASX:R' U D R U R D' R' U' R D R2 U' D' R,GRB:U D R U R D' R' U' R D R2 U' D'
ASX:R' U D R U R D' R' U' R D R2 U' D' R,AXS:R' U D R2 D' R' U R D R' U' R' U' D' R
ASY:D' R U' R' D R U R',JAZ:R' D' R U' R' D R U
ASY:D' R U' R' D R U R',JAO:R' B D' R U' R' D R U R' B' R
ASY:D' R U' R' D R U R',JGC:R2 D' R U' R' D R U R
ASY:D' R U' R' D R U R',AYM:R U' R' D R U R' D'
ASY:D' R U' R' D R U R',AYS:R U' R' D' R U R' D
ASY:D' R U' R' D R U R',GXW:R' F' D' R U' R' D R U R' F R
ASY:D' R U' R' D R U R',JSY:U D' R U' R' D R U R' U'
ASY:D' R U' R' D R U R',DRM:R U' R U' R' D R U R' U D' R'
ASZ:U' R D' R' D R U R' D' R U' D R' U,JSZ:R D' R' D R U R' D' R U' D R'
ASZ:U' R D' R' D R U R' D' R U' D R' U,AZS:U' R U D' R' D R U' R' D' R D R' U
ATD:U D R D' R' U R D R' U2 D',AXD:R' U D R D' R' U R D R' U2 D' R
ATD:U D R D' R' U R D R' U2 D',GDA:R U D R D' R' U R D R' U2 D' R'
ATD:U D R D' R' U R D R' U2 D',GDT:D R D' R' U R D R' U' D'
ATD:U D R D' R' U R D R' U2 D',JGT:U' D R D' R' U R D R' D'
ATD:U D R D' R' U R D R' U2 D',JTA:U2 D R D' R' U R D R' U D'
ATE:U' R U' R' D' R U2 R' D R U' R' U,JTB:R U' R' D' R U2 R' D R U' R'
ATE:U' R U' R' D' R U2 R' D R U' R' U,AXE:R' U' R U' R' D' R U2 R' D R U' R' U R
ATE:U' R U' R' D' R U2 R' D R U' R' U,JFB:R2 U' R U' R' D' R U2 R' D R U' R' U R2
ATE:U' R U' R' D' R U2 R' D R U' R' U,JIS:U R U' R' D' R U2 R' D R U' R' U'
ATF:U R' U R2 D R' U2 R D' R' U2 R' U' R U',GER:R' U R2 D R' U2 R D' R' U2 R' U' R
ATM:R' U' R' D R U2 R' D' R U' R,GMA:U' R' D R U2 R' D' R U'
ATM:R' U' R' D R U2 R' D' R U' R,JNB:R U' R' D R U2 R' D' R U' R'
ATN:R' U' D R' D' R U2 R' D R U' D' R,GNA:U' D R' D' R U2 R' D R U' D'
ATN:R' U' D R' D' R U2 R' D R U' D' R,JWB:R U' D R' D' R U2 R' D R U' D' R'
ATO:U' R2 D' R2 U' R' U R2 D R2 U' R U2,GTO:U R2 D' R2 U' R' U R2 D R2 U' R
ATO:U' R2 D' R2 U' R' U R2 D R2 U' R U2,JTO:R2 D' R2 U' R' U R2 D R2 U' R U
ATP:R' U2 D' R D R' U2 R D' R' D R,GPA:U2 D' R D R' U2 R D' R' D
ATP:R' U2 D' R D R' U2 R D' R' D R,JQB:R U2 D' R D R' U2 R D' R' D R'
ATP:R' U2 D' R D R' U2 R D' R' D R,JTP:U R' U2 D' R D R' U2 R D' R' D R U'
ATQ:R' U2 R D' R' U2 R D,GAS:R D R' U2 R D' R' U2
ATQ:R' U2 R D' R' U2 R D,JBG:R2 D R' U2 R D' R' U2 R'
ATQ:R' U2 R D' R' U2 R D,GQA:U2 R D' R' U2 R D R'
ATQ:R' U2 R D' R' U2 R D,GZW:R F' D R' U2 R D' R' U2 R F R'
ATQ:R' U2 R D' R' U2 R D,JOB:R U2 R D' R' U2 R D R2
ATQ:R' U2 R D' R' U2 R D,JTQ:U R' U2 R D' R' U2 R U' D
ATW:R U R U R2 D R U' R' D' R U R U' R' U' R',AXW:U R U R2 D R U' R' D' R U R U' R' U'
ATW:R U R U R2 D R U' R' D' R U R U' R' U' R',AWT:R U R U R' U' R' D R U R' D' R2 U' R' U' R'
ATX:R' U2 D R D' R' U2 R D R' D' R,GTA:U2 D R D' R' U2 R D R' D'
ATX:R' U2 D R D' R' U2 R D R' D' R,AXT:R' D R D' R' U2 R D R' U2 D' R
ATX:R' U2 D R D' R' U2 R D R' D' R,JHB:R U2 D R D' R' U2 R D R' D' R'
ATY:D R' U R2 D' R' U R D R' U' R' U' R D',AYT:D R' U R U R D' R' U' R D R2 U' R D'
ATZ:U' D' R U R' D R U' R' U,JTZ:D' R U R' D R U' R'
ATZ:U' D' R U R' D R U' R' U,AZN:U' R U R' D R U' R' U D'
ATZ:U' D' R U R' D R U' R' U,AZT:U' R U R' D' R U' R' U D
ATZ:U' D' R U R' D R U' R' U,JCZ:R' U' D' R U R' D R U' R' U R
AWD:U R F' D R' U R D' R' U' R F R' U',GDW:R F' D R' U R D' R' U' R F R'
AWE:R' U' R U' D R' D' R U2 R' D R U' D' R' U R,JWB:R U' D R' D' R U2 R' D R U' D' R'
AWF:U2 R' U D R U' R' D' R U R' U' R U2,JHM:R' U D R U' R' D' R U R' U' R
AWF:U2 R' U D R U' R' D' R U R' U' R U2,GEM:U R' U D R U' R' D' R U R' U' R U'
AWF:U2 R' U D R U' R' D' R U R' U' R U2,JWC:U' R' U D R U' R' D' R U R' U' R U
AWO:R' F R D' R D R' U2 R D' R' U2 D R' F' R,JBQ:R D' R D R' U2 R D' R' U2 D R'
AWP:R' F R2 D' R' U2 R D R' U2 R' F' R,JBO:R2 D' R' U2 R D R' U2 R'
AWP:R' F R2 D' R' U2 R D R' U2 R' F' R,DWP:U' R' F R2 D' R' U2 R D R' U2 R' F' R U
AWP:R' F R2 D' R' U2 R D R' U2 R' F' R,JWP:U R' F R2 D' R' U2 R D R' U2 R' F' R U'
AWQ:U R B2 R' D R' D' R2 B R2 D R D' R B R' U',DWQ:R B2 R' D R' D' R2 B R2 D R D' R B R'
AWR:R' F R2 D R' U2 R D' R' U2 R' F' R,JBG:R2 D R' U2 R D' R' U2 R'
AWR:R' F R2 D R' U2 R D' R' U2 R' F' R,DWR:U' R' F R2 D R' U2 R D' R' U2 R' F' R U
AWR:R' F R2 D R' U2 R D' R' U2 R' F' R,JWR:U R' F R2 D R' U2 R D' R' U2 R' F' R U'
AWS:R' F R D R D' R' U2 R D R' U2 D' R' F' R,JBH:R D R D' R' U2 R D R' U2 D' R'
AWT:R U R U R' U' R' D R U R' D' R2 U' R' U' R',AWX:U R U R' U' R' D R U R' D' R2 U' R' U'
AWX:U R U R' U' R' D R U R' D' R2 U' R' U',DWX:R U R' U' R' D R U R' D' R2 U' R'
AWX:U R U R' U' R' D R U R' D' R2 U' R' U',AXW:U R U R2 D R U' R' D' R U R U' R' U'
AWY:R' F R U R' D' R U2 R' D R U R' F' R,JBT:R U R' D' R U2 R' D R U R'
AWY:R' F R U R' D' R U2 R' D R U R' F' R,AYW:R' F R U' R' D' R U2 R' D R U' R' F' R
AWY:R' F R U R' D' R U2 R' D R U R' F' R,JAW:R2 F R U R' D' R U2 R' D R U R' F' R2
AWZ:U' R D R' D' R U R' D R U' D' R' U,JWZ:R D R' D' R U R' D R U' D' R'
AWZ:U' R D R' D' R U R' D R U' D' R' U,AZW:U' R U D R' D' R U' R' D R D' R' U
AXD:R' U D R D' R' U R D R' U2 D' R,GDA:R U D R D' R' U R D R' U2 D' R'
AXE:R' U' R U' R' D' R U2 R' D R U' R' U R,JFB:R2 U' R U' R' D' R U2 R' D R U' R' U R2
AXF:U' R U' R' U2 R' D' R U2 R' D R2 U R' U,JXC:R U' R' U2 R' D' R U2 R' D R2 U R'
AXN:U' R U' R' U2 R' D R U2 R' D' R2 U R' U,JXN:R U' R' U2 R' D R U2 R' D' R2 U R'
AXN:U' R U' R' U2 R' D R U2 R' D' R2 U R' U,DXN:U2 R U' R' U2 R' D R U2 R' D' R2 U R' U2
AXN:U' R U' R' U2 R' D R U2 R' D' R2 U R' U,GXN:U R U' R' U2 R' D R U2 R' D' R2 U R' U'
AXO:U R B' R' U2 R' D' R U2 R' D R2 B R' U',DXO:R B' R' U2 R' D' R U2 R' D R2 B R'
AXO:U R B' R' U2 R' D' R U2 R' D R2 B R' U',GXO:U' R B' R' U2 R' D' R U2 R' D R2 B R' U
AXP:U R U R' U' R D' R' U' R D R' U2 R U' R' U',GCP:R' U' R D' R' U' R D R' U2 R
AXQ:R' U R' U R D' R' U' R U' D R,DZT:D R' U R D' R' U' R
AXQ:R' U R' U R D' R' U' R U' D R,DTQ:R' U R D' R' U' R D
AXR:R' U' R U2 R' D' R U' R' D R U' R' U R,JTE:R U2 R' D' R U' R' D R U' R'
AXS:R' U D R2 D' R' U R D R' U' R' U' D' R,GBR:U D R2 D' R' U R D R' U' R' U' D'
AXT:R' D R D' R' U2 R D R' U2 D' R,GAT:D R D' R' U2 R D R' U2 D'
AXT:R' D R D' R' U2 R D R' U2 D' R,JBH:R D R D' R' U2 R D R' U2 D' R'
AXW:U R U R2 D R U' R' D' R U R U' R' U',DXW:R U R2 D R U' R' D' R U R U' R'
AYD:U2 D' R' D R U R' D' R U D,GDY:U D' R' D R U R' D' R U2 D
AYD:U2 D' R' D R U R' D' R U D,JDA:R' U2 D' R' D R U R' D' R U D R
AYD:U2 D' R' D R U R' D' R U D,JGY:D' R' D R U R' D' R U' D
AYD:U2 D' R' D R U R' D' R U D,JYA:U' D' R' D R U R' D' R D
AYE:U D' R2 D R U2 R' D' R U2 R U' D,GFW:R2 D R U2 R' D' R U2 R
AYE:U D' R2 D R U2 R' D' R U2 R U' D,GFX:D' R2 D R U2 R' D' R U2 R D
AYE:U D' R2 D R U2 R' D' R U2 R U' D,JIX:U' D' R2 D R U2 R' D' R U2 R U D
AYF:R U' R2 D' R U' R' D R U R U R',JFA:U' R2 D' R U' R' D R U R U
AYM:R U' R' D R U R' D',JYM:U R U' R' D R U R' U' D'
AYM:R U' R' D R U R' D',DRM:R U' R U' R' D R U R' U D' R'
AYM:R U' R' D R U R' D',GWB:R' F' R U' R' D R U R' D' F R
AYM:R U' R' D R U R' D',GWC:R' U' R' D R U R' D' R2
AYM:R U' R' D R U R' D',JMA:U' R' D R U R' D' R
AYM:R U' R' D R U R' D',JNH:R' F R U' R' D R U R' D' F' R
AYM:R U' R' D R U R' D',JDO:R' U' D' R2 U' R' D R U R' D' R' U D R
AYN:R U' D R' D' R U R' D R D' R',JNA:U' D R' D' R U R' D R D'
AYN:R U' D R' D' R U R' D R D' R',GMC:R' U' D R' D' R U R' D R D' R
AYO:U' R2 U' D' R' U R D R' U' R U R2 U,JYO:R2 U' D' R' U R D R' U' R U R2
AYO:U' R2 U' D' R' U R D R' U' R U R2 U,GYO:U R2 U' D' R' U R D R' U' R U R2 U'
AYP:R U2 D' R D R' U R D' R' U D R',JPA:U2 D' R D R' U R D' R' U D
AYP:R U2 D' R D R' U R D' R' U D R',GOC:R' U2 D' R D R' U R D' R' U D R
AYP:R U2 D' R D R' U R D' R' U D R',GWQ:R' F' R U2 D' R D R' U R D' R' U D R' F R
AYP:R U2 D' R D R' U R D' R' U D R',WQT:R2 F' R U2 D' R D R' U R D' R' U D R' F R2
AYQ:R U2 R D' R' U R D R' U R',JQA:U2 R D' R' U R D R' U
AYQ:R U2 R D' R' U R D R' U R',GPC:R' U2 R D' R' U R D R' U R
AYQ:R U2 R D' R' U R D R' U R',GWO:R' F' R U2 R D' R' U R D R' U R' F R
AYQ:R U2 R D' R' U R D R' U R',JYQ:U R U2 R D' R' U R D R' U R' U'
AYQ:R U2 R D' R' U R D R' U R',WOT:R2 F' R U2 R D' R' U R D R' U R' F R2
AYR:R U' D' R' D R U R' D' R D R',JYA:U' D' R' D R U R' D' R D
AYR:R U' D' R' D R U R' D' R D R',JAH:R' U' D' R' D R U R' D' R D R
AYR:R U' D' R' D R U R' D' R D R',JYR:U R U' D' R' D R U R' D' R D R' U'
AYS:R U' R' D' R U R' D,JOA:R' B R U' R' D' R U R' D B' R
AYS:R U' R' D' R U R' D,GWX:R' F' R U' R' D' R U R' D F R
AYS:R U' R' D' R U R' D,JCG:R' U' R' D' R U R' D R2
AYS:R U' R' D' R U R' D,JYS:U R U' R' D' R U R' U' D
AYS:R U' R' D' R U R' D,JZA:U' R' D' R U R' D R
AYW:R' F R U' R' D' R U2 R' D R U' R' F' R,JTB:R U' R' D' R U2 R' D R U' R'
AYW:R' F R U' R' D' R U2 R' D R U' R' F' R,JWA:R2 F R U' R' D' R U2 R' D R U' R' F' R2
AZD:U2 R' D' R U R' D R U,JZA:U' R' D' R U R' D R
AZD:U2 R' D' R U R' D R U,GDZ:U R' D' R U R' D R U2
AZD:U2 R' D' R U R' D R U,JFC:R' U2 R' D' R U R' D R U R
AZD:U2 R' D' R U R' D R U,JGZ:R' D' R U R' D R U'
AZE:U R' U' R D R' U2 R D' R' U' R U',GFY:R' U' R D R' U2 R D' R' U' R
AZE:U R' U' R D R' U2 R D' R' U' R U',GFB:R2 U R' U' R D R' U2 R D' R' U' R U' R2
AZE:U R' U' R D R' U2 R D' R' U' R U',JIY:U' R' U' R D R' U2 R D' R' U' R U
AZF:R B' R2 D' R U' R' D R U R B R',JGC:R2 D' R U' R' D R U R
AZM:U R U' R' U' R' D R U R' D' R2 U R' U',DZM:R U' R' U' R' D R U R' D' R2 U R'
AZN:U' R U R' D R U' R' U D',JMC:R' U' R U R' D R U' R' U D' R
AZN:U' R U R' D R U' R' U D',GZN:U R U R' D R U' R' U' D'
AZN:U' R U R' D R U' R' U D',JZN:R U R' D R U' R' D'
AZO:U' R2 D' R' U' R D R' U R' U,JZO:R2 D' R' U' R D R' U R'
AZO:U' R2 D' R' U' R D R' U R' U,GZO:U R2 D' R' U' R D R' U R' U'
AZP:U2 R B R' U R' D' R U' R' D R2 B' R' U2,GZP:R B R' U R' D' R U' R' D R2 B' R'
AZP:U2 R B R' U R' D' R U' R' D R2 B' R' U2,DZP:U R B R' U R' D' R U' R' D R2 B' R' U'
AZP:U2 R B R' U R' D' R U' R' D R2 B' R' U2,JZP:U' R B R' U R' D' R U' R' D R2 B' R' U
AZQ:U' R D' R D R' U' R D' R' U D R' U,JZQ:R D' R D R' U' R D' R' U D R'
AZR:R2 U' R' U2 R' D' R U2 R' D R2 U R2,JAI:U' R' U2 R' D' R U2 R' D R2 U
AZR:R2 U' R' U2 R' D' R U2 R' D R2 U R2,JXC:R U' R' U2 R' D' R U2 R' D R2 U R'
AZS:U' R U D' R' D R U' R' D' R D R' U,JZS:R U D' R' D R U' R' D' R D R'
AZT:U' R U R' D' R U' R' U D,JZC:R' U' R U R' D' R U' R' U D R
AZT:U' R U R' D' R U' R' U D,JZT:R U R' D' R U' R' D
AZW:U' R U D R' D' R U' R' D R D' R' U,JZW:R U D R' D' R U' R' D R D' R'
DMO:U' R' F R D' R D R2 F R2 D' R' D R' F2 R U,DOM:U' R' F2 R D' R D R2 F' R2 D' R' D R' F' R U
DMP:U R B R' U R' D R U' R' D' R2 B' R' U',GMP:R B R' U R' D R U' R' D' R2 B' R'
DMP:U R B R' U R' D R U' R' D' R2 B' R' U',DPM:U R B R2 D R U R' D' R U' R B' R' U'
DMP:U R B R' U R' D R U' R' D' R2 B' R' U',JMP:U' R B R' U R' D R U' R' D' R2 B' R' U
DMQ:R F R' U R D' R' U R D R' U2 R F' R',DQM:R F R' U2 R D' R' U' R D R' U' R F' R'
DMR:R U' D R U' R' D' R U R' U R',DRM:R U' R U' R' D R U R' U D' R'
DMS:U R' U D R' D' R U' R' D R D' R U',GMS:R' U D R' D' R U' R' D R D' R
DMS:U R' U D R' D' R U' R' D R D' R U',DSM:U R' D R' D' R U R' D R U' D' R U'
DMT:R' U R' D R U R' D' R U2 R,GDM:U R' D R U R' D' R U2
DMT:R' U R' D R U R' D' R U2 R,DTM:R' U2 R' D R U' R' D' R U' R
DMT:R' U R' D R U R' D' R U2 R,GMT:U' R' U R' D R U R' D' R U2 R U
DMT:R' U R' D R U R' D' R U2 R,JEN:R U R' D R U R' D' R U2 R'
DMT:R' U R' D R U R' D' R U2 R,JWO:R B R' U R' D R U R' D' R U2 R B' R'
DMT:R' U R' D R U R' D' R U2 R,XNQ:R2 B R' U R' D R U R' D' R U2 R B' R2
DMX:U R' D R2 D' R' U' R D R' U R' D' R U',GMX:R' D R2 D' R' U' R D R' U R' D' R
DMX:U R' D R2 D' R' U' R D R' U R' D' R U',DXM:U R' D R U' R D' R' U R D R2 D' R U'
DMX:U R' D R2 D' R' U' R D R' U R' D' R U',JMX:U' R' D R2 D' R' U' R D R' U R' D' R U
DMY:D R U2 R' D' R U2 R',JDM:R' D R U2 R' D' R U2
DMY:D R U2 R' D' R U2 R',GFW:R2 D R U2 R' D' R U2 R
DMY:D R U2 R' D' R U2 R',DYM:R U2 R' D R U2 R' D'
DMY:D R U2 R' D' R U2 R',GMY:U' D R U2 R' D' R U2 R' U
DMY:D R U2 R' D' R U2 R',JZD:U2 R' D' R U2 R' D R
DMY:D R U2 R' D' R U2 R',JFG:R' U2 R' D' R U2 R' D R2
DMY:D R U2 R' D' R U2 R',DNZ:R' F' R U2 R' D' R U2 R' D F R
DMY:D R U2 R' D' R U2 R',JOS:R' B R U2 R' D' R U2 R' D B' R
DMZ:R U' R2 D R U' R' D' R U R U R',JFW:U' R2 D R U' R' D' R U R U
DMZ:R U' R2 D R U' R' D' R U R U R',DYT:D' R U' R2 D R U' R' D' R U R U R' D
DMZ:R U' R2 D R U' R' D' R U R U R',DZM:R U' R' U' R' D R U R' D' R2 U R'
DNO:R B' R' U2 R' D R U2 R' D' R2 B R',GWF:R' U2 R' D R U2 R' D' R2
DNO:R B' R' U2 R' D R U2 R' D' R2 B R',DON:R B' R2 D R U2 R' D' R U2 R B R'
DNO:R B' R' U2 R' D R U2 R' D' R2 B R',GNO:U' R B' R' U2 R' D R U2 R' D' R2 B R' U
DNP:R' F' R U D' R D R' U2 R D' R' U D R' F R,DYP:R U D' R D R' U2 R D' R' U D R'
DNP:R' F' R U D' R D R' U2 R D' R' U D R' F R,DPN:R' F' R U' D' R D R' U2 R D' R' U' D R' F R
DNQ:R B2 R2 D R U R' D' R U' R B2 R',GSW:R2 D R U R' D' R U' R
DNQ:R B2 R2 D R U R' D' R U' R B2 R',DQN:R B2 R' U R' D R U' R' D' R2 B2 R'
DNR:U' R' U' R U2 R' D R U' R' D' R U' R' U R U,JNE:R U2 R' D R U' R' D' R U' R'
DNR:U' R' U' R U2 R' D R U' R' D' R U' R' U R U,DRN:U' R' U' R U R' D R U R' D' R U2 R' U R U
DNS:U2 R' F' R2 D R' U' R D' R' U R' F R U2,JNS:R' F' R2 D R' U' R D' R' U R' F R
DNS:U2 R' F' R2 D R' U' R D' R' U R' F R U2,DSN:U2 R' F' R U' R D R' U R D' R2 F R U2
DNS:U2 R' F' R2 D R' U' R D' R' U R' F R U2,GNS:U R' F' R2 D R' U' R D' R' U R' F R U'
DNT:R' U D R' D' R U R' D R U2 D' R,GDN:U D R' D' R U R' D R U2 D'
DNT:R' U D R' D' R U R' D R U2 D' R,DTN:R' U2 D R' D' R U' R' D R U' D' R
DNT:R' U D R' D' R U R' D R U2 D' R,JEW:R U D R' D' R U R' D R U2 D' R'
DNT:R' U D R' D' R U R' D R U2 D' R,JMO:R B R' U D R' D' R U R' D R U2 D' R B' R'
DNT:R' U D R' D' R U R' D R U2 D' R,XWQ:R2 B R' U D R' D' R U R' D R U2 D' R B' R2
DNX:U2 R U' R2 D R U2 R' D' R U2 R U R' U2,JNX:R U' R2 D R U2 R' D' R U2 R U R'
DNX:U2 R U' R2 D R U2 R' D' R U2 R U R' U2,DXN:U2 R U' R' U2 R' D R U2 R' D' R2 U R' U2
DNX:U2 R U' R2 D R U2 R' D' R U2 R U R' U2,GNX:U R U' R2 D R U2 R' D' R U2 R U R' U'
DNY:R D R' D' R U2 R' D R U2 D' R',JDN:D R' D' R U2 R' D R U2 D'
DNY:R D R' D' R U2 R' D R U2 D' R',DYN:R U2 D R' D' R U2 R' D R D' R'
DNY:R D R' D' R U2 R' D R U2 D' R',GFM:R' D R' D' R U2 R' D R U2 D' R
DNY:R D R' D' R U2 R' D R U2 D' R',GNY:U' R D R' D' R U2 R' D R U2 D' R' U
DNZ:R' F' R U2 R' D' R U2 R' D F R,DZN:R' F' D' R U2 R' D R U2 R' F R
DNZ:R' F' R U2 R' D' R U2 R' D F R,JZD:U2 R' D' R U2 R' D R
DON:R B' R2 D R U2 R' D' R U2 R B R',GFW:R2 D R U2 R' D' R U2 R
DON:R B' R2 D R U2 R' D' R U2 R B R',GON:U' R B' R2 D R U2 R' D' R U2 R B R' U
DOR:U' R' U' R U R D' R' U' R D R2 U R U,DOY:R' U' R' U' R U R D' R' U' R D R2 U R U R
DOR:U' R' U' R U R D' R' U' R D R2 U R U,DRO:U' R' U' R2 D' R' U R D R' U' R' U R U
DOS:U R' D' R D R' U' R D' R' U D R U',GOS:R' D' R D R' U' R D' R' U D R
DOS:U R' D' R D R' U' R D' R' U D R U',DSO:U R' U' D' R D R' U R D' R' D R U'
DOT:R B' R' U' R D R' U2 R D' R' U' R B R',GFY:R' U' R D R' U2 R D' R' U' R
DOT:R B' R' U' R D R' U2 R D' R' U' R B R',DTO:R B' R' U R D R' U2 R D' R' U R B R'
DOT:R B' R' U' R D R' U2 R D' R' U' R B R',GDO:R2 B' R' U' R D R' U2 R D' R' U' R B R2
DOW:R B' R' D R' D' R U2 R' D R U2 D' R B R',GFM:R' D R' D' R U2 R' D R U2 D' R
DOW:R B' R' D R' D' R U2 R' D R U2 D' R B R',DWO:R B' R' U2 D R' D' R U2 R' D R D' R B R'
