Source,Target
AER:U' D R2 D' R' U2 R D R' U2 R' U D',JBR:D R2 D' R' U2 R D R' U2 R' D'
AER:U' D R2 D' R' U2 R D R' U2 R' U D',JTI:U D R2 D' R' U2 R D R' U2 R' U' D'
AES:R U R' U R D R' U2 R D' R' U R U' R',AEZ:U R' U R D R' U2 R D' R' U R U'
AES:R U R' U R D R' U2 R D' R' U R U' R',ASE:R U R' U' R D R' U2 R D' R' U' R U' R'
AES:R U R' U R D R' U2 R D' R' U R U' R',GBF:R2 U R' U R D R' U2 R D' R' U R U' R2
AET:U' R U R' D' R U2 R' D R U R' U,JBT:R U R' D' R U2 R' D R U R'
AET:U' R U R' D' R U2 R' D R U R' U,AEX:R' U' R U R' D' R U2 R' D R U R' U R
AET:U' R U R' D' R U2 R' D R U R' U,ATE:U' R U' R' D' R U2 R' D R U' R' U
AET:U' R U R' D' R U2 R' D R U R' U,JBF:R2 U' R U R' D' R U2 R' D R U R' U R2
AET:U' R U R' D' R U2 R' D R U R' U,JSI:U R U R' D' R U2 R' D R U R' U'
AEW:R' U' R U D R' D' R U2 R' D R U D' R' U R,JBW:R U D R' D' R U2 R' D R U D' R'
AEW:R' U' R U D R' D' R U2 R' D R U D' R' U R,AWE:R' U' R U' D R' D' R U2 R' D R U' D' R' U R
AEX:R' U' R U R' D' R U2 R' D R U R' U R,AXE:R' U' R U' R' D' R U2 R' D R U' R' U R
AEX:R' U' R U R' D' R U2 R' D R U R' U R,JBF:R2 U' R U R' D' R U2 R' D R U R' U R2
AEY:U D' R' U2 R' D R U2 R' D' R2 U' D,GWF:R' U2 R' D R U2 R' D' R2
AEY:U D' R' U2 R' D R U2 R' D' R2 U' D,AYE:U D' R2 D R U2 R' D' R U2 R U' D
AEY:U D' R' U2 R' D R U2 R' D' R2 U' D,GXF:D' R' U2 R' D R U2 R' D' R2 D
AEY:U D' R' U2 R' D R U2 R' D' R2 U' D,JXI:U' D' R' U2 R' D R U2 R' D' R2 U D
AEZ:U R' U R D R' U2 R D' R' U R U',GYF:R' U R D R' U2 R D' R' U R
AEZ:U R' U R D R' U2 R D' R' U R U',AZE:U R' U' R D R' U2 R D' R' U' R U'
AEZ:U R' U R D R' U2 R D' R' U R U',GBF:R2 U R' U R D R' U2 R D' R' U R U' R2
AEZ:U R' U R D R' U2 R D' R' U R U',JYI:U' R' U R D R' U2 R D' R' U R U
AFM:R B' R' U' R' D R U R' D' R2 B R',GWC:R' U' R' D R U R' D' R2
AFM:R B' R' U' R' D R U R' D' R2 B R',AMF:R B' R2 D R U' R' D' R U R B R'
AFN:R B' R' U' D R' D' R U R' D R D' R B R',GMC:R' U' D R' D' R U R' D R D' R
AFN:R B' R' U' D R' D' R U R' D R D' R B R',ANF:R B' R' D R' D' R U' R' D R U D' R B R'
AFO:R' F R D' R D R' U R D' R' U' D R' F' R,JEQ:R D' R D R' U R D' R' U' D R'
AFO:R' F R D' R D R' U R D' R' U' D R' F' R,AOF:R' F R U D' R D R' U' R D' R' D R' F' R
AFP:R' F R2 D' R' U R D R' U' R' F' R,JEO:R2 D' R' U R D R' U' R'
AFP:R' F R2 D' R' U R D R' U' R' F' R,APF:R' F R U R D' R' U' R D R2 F' R
AFQ:U2 R U' D' R' U R D R' U' R U R' U2,JOH:R U' D' R' U R D R' U' R U R'
AFQ:U2 R U' D' R' U R D R' U' R U R' U2,AQF:U2 R U' R' U R D' R' U' R U D R' U2
AFQ:U2 R U' D' R' U R D R' U' R U R' U2,GOE:U R U' D' R' U R D R' U' R U R' U'
AFQ:U2 R U' D' R' U R D R' U' R U R' U2,JCQ:U' R U' D' R' U R D R' U' R U R' U
AFR:R' F R2 D R' U R D' R' U' R' F' R,JEG:R2 D R' U R D' R' U' R'
AFR:R' F R2 D R' U R D' R' U' R' F' R,ARF:R' F R U R D R' U' R D' R2 F' R
AFS:R' U R2 D R' U R D' R' U' R' U' R,GBD:U R2 D R' U R D' R' U' R' U'
AFS:R' U R2 D R' U R D' R' U' R' U' R,ASF:R' U R U R D R' U' R D' R2 U' R
AFT:U R' U R U2 R D R' U2 R D' R2 U' R U',GRE:R' U R U2 R D R' U2 R D' R2 U' R
AFT:U R' U R U2 R D R' U2 R D' R2 U' R U',ATF:U R' U R2 D R' U2 R D' R' U2 R' U' R U'
AFW:U2 R' U R U' R' D R U R' U' D' R U2,JMH:R' U R U' R' D R U R' U' D' R
AFW:U2 R' U R U' R' D R U R' U' D' R U2,AWF:U2 R' U D R U' R' D' R U R' U' R U2
AFW:U2 R' U R U' R' D R U R' U' D' R U2,GME:U R' U R U' R' D R U R' U' D' R U'
AFW:U2 R' U R U' R' D R U R' U' D' R U2,JCW:U' R' U R U' R' D R U R' U' D' R U
AFX:U' R U' R2 D' R U2 R' D R U2 R U R' U,JCX:R U' R2 D' R U2 R' D R U2 R U R'
AFX:U' R U' R2 D' R U2 R' D R U2 R U R' U,AXF:U' R U' R' U2 R' D' R U2 R' D R2 U R' U
AFY:R U' R' U' R' D' R U R' D R2 U R',JAF:U' R' U' R' D' R U R' D R2 U
AFY:R U' R' U' R' D' R U R' D R2 U R',AYF:R U' R2 D' R U' R' D R U R U R'
AFZ:R B' R' U' R' D' R U R' D R2 B R',JCG:R' U' R' D' R U R' D R2
AFZ:R B' R' U' R' D' R U R' D R2 B R',AZF:R B' R2 D' R U' R' D R U R B R'
AMD:U2 R' D R U R' D' R U,JMA:U' R' D R U R' D' R
AMD:U2 R' D R U R' D' R U,AMQ:R' B' R U2 R' D R U R' D' R U R' B R
AMD:U2 R' D R U R' D' R U,AYD:U2 D' R' D R U R' D' R U D
AMD:U2 R' D R U R' D' R U,GDM:U R' D R U R' D' R U2
AMD:U2 R' D R U R' D' R U,GFC:R2 D' R U2 R' D R U R' D' R U R' D R2
AMD:U2 R' D R U R' D' R U,JGM:R' D R U R' D' R U'
AME:R U R2 D R U2 R' D' R U2 R U' R',GFW:R2 D R U2 R' D' R U2 R
AMF:R B' R2 D R U' R' D' R U R B R',GCW:R2 D R U' R' D' R U R
AMO:R' F R D' R D R2 F R2 D' R' D R' F2 R,GBP:D' R D R2 F R2 D' R' D R' F' R
AMO:R' F R D' R D R2 F R2 D' R' D R' F2 R,AOM:R' F2 R D' R D R2 F' R2 D' R' D R' F' R
AMO:R' F R D' R D R2 F R2 D' R' D R' F2 R,DMO:U' R' F R D' R D R2 F R2 D' R' D R' F2 R U
AMP:R' F2 R U' R D' R' U R D R2 F2 R,JOZ:R U' R D' R' U R D R2
AMP:R' F2 R U' R D' R' U R D R2 F2 R,APM:R' F2 R2 D' R' U' R D R' U R' F2 R
AMQ:R' B' R U2 R' D R U R' D' R U R' B R,AQM:R' B' R U' R' D R U' R' D' R U2 R' B R
AMR:R' F2 R U' R D R' U R D' R2 F2 R,GSY:R' U' R D R' U R D'
AMR:R' F2 R U' R D R' U R D' R2 F2 R,ARM:R' F2 R2 D R' U' R D' R' U R' F2 R
AMR:R' F2 R U' R D R' U R D' R2 F2 R,JGS:U' R D R' U R D' R'
AMS:R' U R U R' D R U R' D' R U2 R' U' R,GBN:U R U R' D R U R' D' R U2 R' U'
AMS:R' U R U R' D R U R' D' R U2 R' U' R,ASM:R' U R U2 R' D R U' R' D' R U' R' U' R
AMT:R' U R' D R U2 R' D' R U R,GAM:U R' D R U2 R' D' R U
